principio_ativo,nome_normalizado,forma_farmaceutica,unidade_dispensavel,concentracao_texto,via_administracao,aliases,fonte,versao_base
acetato de bazedoxifeno + estrogênios conjugados,"acetato de bazedoxifeno + estrogênios conjugados 0,45 mg + 20 mg comprimido revestido de liberação prolongada",comprimido revestido de liberação prolongada,comprimido,"0,45 mg + 20 mg",oral,DUAVIVE,ANVISA/CMED 2026-06,2026-06
acetato de caspofungina,acetato de caspofungina 50 mg pó liofilizado para solução para infusão,pó liofilizado para solução para infusão,pó,50 mg,intravenosa,ACETATO DE CASPOFUNGINA|BERK|CANCIDAS|KAZFONA,ANVISA/CMED 2026-06,2026-06
acetato de caspofungina,acetato de caspofungina 70 mg pó liofilizado para solução para infusão,pó liofilizado para solução para infusão,pó,70 mg,intravenosa,ACETATO DE CASPOFUNGINA|BERK|CANCIDAS|KAZFONA,ANVISA/CMED 2026-06,2026-06
acetato de cetrorrelix,"acetato de cetrorrelix 0,25 mg pó liofilizado para solução injct",pó liofilizado para solução injct,pó,"0,25 mg",subcutânea,CETROTIDE,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona,acetato de ciproterona 100 mg comprimido,comprimido,comprimido,100 mg,oral,ANDROCUR,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona,acetato de ciproterona 50 mg comprimido,comprimido,comprimido,50 mg,oral,ACETATO DE CIPROTERONA|ANDROCUR,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 0,035 + 2 mg comprimido revestido",comprimido revestido,comprimido,"0,035 + 2 mg",oral,SELENE,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2 + 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2 + 0,035 mg",oral,ACETATO DE CIPROTERONA + ETINILESTRADIOL|DICLIN|TESS,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2 + 0,035mg comprimido revestido",comprimido revestido,comprimido,"2 + 0,035mg",oral,ACETATO DE CIPROTERONA + ETINILESTRADIOL,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2 mg + 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2 mg + 0,035 mg",oral,ACETATO DE CIPROTERONA + ETINILESTRADIOL|ACETATO DE CIPROTERONA+ETINILESTRADIOL|FERANE 35,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2,0 + 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2,0 + 0,035 mg",oral,ACETATO DE CIPROTERONA + ETINILESTRADIOL,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2,0 mg + 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2,0 mg + 0,035 mg",oral,ACETATO DE CIPROTERONA+ETINILESTRADIOL,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2,0+ 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2,0+ 0,035 mg",oral,DUELLE|DUNIA 35,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2,00 mg + 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2,00 mg + 0,035 mg",oral,ACETATO DE CIPROTERONA + ETINILESTRADIOL|ACETATO DE CIPROTERONA+ETINILESTRADIOL|ARTEMIDIS 35|JAQUE|REPOPIL 35,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + etinilestradiol,"acetato de ciproterona + etinilestradiol 2,000+ 0,035 mg comprimido revestido",comprimido revestido,comprimido,"2,000+ 0,035 mg",oral,DIANE 35,ANVISA/CMED 2026-06,2026-06
acetato de ciproterona + valerato de estradiol,acetato de ciproterona + valerato de estradiol 2 mg comprimido revestido x 11 + (2 + 1) mg,comprimido revestido x 11 + (2 + 1) mg,comprimido,2 mg,oral,CLIMENE,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2 + 0,02 mg comprimido revestido",comprimido revestido,comprimido,"2 + 0,02 mg",oral,AMORA 20,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2 + 0,03 mg comprimido revestido",comprimido revestido,comprimido,"2 + 0,03 mg",oral,ACETATO DE CLORMADINONA + ETINILESTRADIOL|BELADIOL|EMILY|LOLITA,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2 mg + 0,02 mg comprimido revestido",comprimido revestido,comprimido,"2 mg + 0,02 mg",oral,BELARINA,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2 mg + 0,03 mg comprimido revestido",comprimido revestido,comprimido,"2 mg + 0,03 mg",oral,ACETATO DE CLORMADINONA + ETINILESTRADIOL|BELARA|LIBERFEM,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2,0 + 0,03 mg comprimido revestido",comprimido revestido,comprimido,"2,0 + 0,03 mg",oral,ACETATO DE CLORMADINONA + ETINILESTRADIOL|AMORA,ANVISA/CMED 2026-06,2026-06
acetato de clormadinona + etinilestradiol,"acetato de clormadinona + etinilestradiol 2,00+0,03 mg comprimido revestido",comprimido revestido,comprimido,"2,00+0,03 mg",oral,CHERRY,ANVISA/CMED 2026-06,2026-06
acetato de degarelix,acetato de degarelix 120 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,120 mg,subcutânea,FIRMAGON,ANVISA/CMED 2026-06,2026-06
acetato de degarelix,acetato de degarelix 80 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,80 mg,subcutânea,FIRMAGON,ANVISA/CMED 2026-06,2026-06
acetato de desmopressina,"acetato de desmopressina 0,1 mg comprimido",comprimido,comprimido,"0,1 mg",oral,DDAVP,ANVISA/CMED 2026-06,2026-06
acetato de desmopressina,"acetato de desmopressina 0,2 mg comprimido",comprimido,comprimido,"0,2 mg",oral,DDAVP,ANVISA/CMED 2026-06,2026-06
acetato de desmopressina,acetato de desmopressina 4 mcg/ml solução injetável,solução injetável,solução,4 mcg/ml,parenteral,DDAVP,ANVISA/CMED 2026-06,2026-06
acetato de desmopressina,"acetato de desmopressina 0,1 mg/ml solução nasal",solução nasal,solução,"0,1 mg/ml",nasal,ACETATO DE DESMOPRESSINA|DOSYX|FURP-DESMOPRESSINA,ANVISA/CMED 2026-06,2026-06
acetato de desmopressina,"acetato de desmopressina 0,1 mg/ml solução spr nasal",solução spr nasal,solução,"0,1 mg/ml",nasal,DDAVP,ANVISA/CMED 2026-06,2026-06
acetato de dexametasona,acetato de dexametasona 1 mg/g creme,creme,creme,1 mg/g,tópica,ACETATO DE DEXAMETASONA,ANVISA/CMED 2026-06,2026-06
acetato de dexametasona,acetato de dexametasona 1 mg/ g creme dermatológico,creme dermatológico,creme,1 mg/ g,tópica,ACETATO DE DEXAMETASONA,ANVISA/CMED 2026-06,2026-06
