principio_ativo,nome_normalizado,forma_farmaceutica,unidade_dispensavel,concentracao_texto,via_administracao,aliases,fonte,versao_base
alprazolam,alprazolam 1 mg comprimido de liberação prolongada,comprimido de liberação prolongada,comprimido,1 mg,oral,FRONTAL,ANVISA/CMED 2026-06,2026-06
alprazolam,alprazolam 2 mg comprimido de liberação prolongada,comprimido de liberação prolongada,comprimido,2 mg,oral,FRONTAL,ANVISA/CMED 2026-06,2026-06
alprazolam,alprazolam 0.5 mg comprimido sublingual,comprimido sublingual,comprimido,0.5 mg,bucal,TRANQUINAL SLG,ANVISA/CMED 2026-06,2026-06
alprostadil,alprostadil 10 mcg pó liofilizado para solução injetável ic,pó liofilizado para solução injetável ic,pó,10 mcg,parenteral,CAVERJECT,ANVISA/CMED 2026-06,2026-06
alprostadil,alprostadil 20 mcg pó liofilizado para solução injetável ic,pó liofilizado para solução injetável ic,pó,20 mcg,parenteral,CAVERJECT,ANVISA/CMED 2026-06,2026-06
alprostadil alfaciclodextrina,alprostadil alfaciclodextrina 20 mcg pó liofilizado para solução,pó liofilizado para solução,pó,20 mcg,,PROSTAVASIN,ANVISA/CMED 2026-06,2026-06
alteplase,alteplase 10 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,10 mg,parenteral,ACTILYSE,ANVISA/CMED 2026-06,2026-06
alteplase,alteplase 20 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,20 mg,parenteral,ACTILYSE,ANVISA/CMED 2026-06,2026-06
alteplase,alteplase 50 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,50 mg,parenteral,ACTILYSE,ANVISA/CMED 2026-06,2026-06
ambrisentana,ambrisentana 10 mg comprimido revestido,comprimido revestido,comprimido,10 mg,oral,VOLIBRIS,ANVISA/CMED 2026-06,2026-06
ambrisentana,ambrisentana 5 mg comprimido revestido,comprimido revestido,comprimido,5 mg,oral,VOLIBRIS,ANVISA/CMED 2026-06,2026-06
aminaftona,aminaftona 75 mg comprimido,comprimido,comprimido,75 mg,oral,CAPILAREMA,ANVISA/CMED 2026-06,2026-06
aminofilina,aminofilina 100 mg comprimido,comprimido,comprimido,100 mg,oral,AMINOFILINA,ANVISA/CMED 2026-06,2026-06
aminofilina,aminofilina 200 mg comprimido,comprimido,comprimido,200 mg,oral,AMINOFILINA,ANVISA/CMED 2026-06,2026-06
aminofilina,aminofilina 24 mg/ml solução injetável,solução injetável,solução,24 mg/ml,parenteral,AMINOFILINA,ANVISA/CMED 2026-06,2026-06
amissulprida,amissulprida 200 mg comprimido,comprimido,comprimido,200 mg,oral,SOCIAN,ANVISA/CMED 2026-06,2026-06
amissulprida,amissulprida 50 mg comprimido,comprimido,comprimido,50 mg,oral,SOCIAN,ANVISA/CMED 2026-06,2026-06
amivantamabe,amivantamabe 1600 mg solução injetável,solução injetável,solução,1600 mg,parenteral,RYBREVANT,ANVISA/CMED 2026-06,2026-06
amivantamabe,amivantamabe 2240 mg solução injetável,solução injetável,solução,2240 mg,parenteral,RYBREVANT,ANVISA/CMED 2026-06,2026-06
amivantamabe,amivantamabe 350 mg solução para diluição para infusão,solução para diluição para infusão,solução,350 mg,parenteral,RYBREVANT,ANVISA/CMED 2026-06,2026-06
amoxicilina,amoxicilina 500 mg cápsula dura,cápsula dura,cápsula,500 mg,oral,AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina,amoxicilina 500 mg cápsula gelatinosa dura,cápsula gelatinosa dura,cápsula,500 mg,oral,NEMOXIL,ANVISA/CMED 2026-06,2026-06
amoxicilina,amoxicilina 50 mg/ml pó para suspensão oral,pó para suspensão oral,pó,50 mg/ml,oral,AMOXICILINA|APLUC|NEMOXIL,ANVISA/CMED 2026-06,2026-06
amoxicilina + amoxicilina tri-hidratada,amoxicilina + amoxicilina tri-hidratada 100 mg/ml pó para suspensão oral,pó para suspensão oral,pó,100 mg/ml,oral,AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina + amoxicilina tri-hidratada,amoxicilina + amoxicilina tri-hidratada 80 mg/ml pó para suspensão oral,pó para suspensão oral,pó,80 mg/ml,oral,AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina sódica + sulbactam sódico,amoxicilina sódica + sulbactam sódico 1000 mg + 500 mg pó para solução injetável,pó para solução injetável,pó,1000 mg + 500 mg,parenteral,TRIFAMOX,ANVISA/CMED 2026-06,2026-06
amoxicilina sódica + sulbactam sódico,amoxicilina sódica + sulbactam sódico 500 mg + 250 mg pó para solução injetável,pó para solução injetável,pó,500 mg + 250 mg,parenteral,TRIFAMOX,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 875 mg comprimido revestido,comprimido revestido,comprimido,875 mg,oral,AMOXICILINA|SINOT|VELAMOX BD,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 500 mg cápsula dura,cápsula dura,cápsula,500 mg,oral,AMOX-EMS|AMOXICILINA|OCYLIN,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 50 mg/ml pó para suspensão,pó para suspensão,pó,50 mg/ml,,AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 100 mg/ml pó para suspensão oral,pó para suspensão oral,pó,100 mg/ml,oral,AMOXICILINA|VELAMOX,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 400 mg/ 5 ml pó para suspensão oral,pó para suspensão oral,pó,400 mg/ 5 ml,oral,AMOXICILINA TRIIDRATADA,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 50 mg/ml pó para suspensão oral,pó para suspensão oral,pó,50 mg/ml,oral,AMOX-EMS|AMOXICILINA|AMOXICILINA TRIIDRATADA|NOVOCILIN|OCYLIN|POLIMOXIL|SINOT,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,"amoxicilina tri-hidratada 80 + 11,4 mg/ml pó para suspensão oral",pó para suspensão oral,pó,"80 + 11,4 mg/ml",oral,CLAVULIN,ANVISA/CMED 2026-06,2026-06
amoxicilina tri-hidratada,amoxicilina tri-hidratada 80 mg/ml pó para suspensão oral,pó para suspensão oral,pó,80 mg/ml,oral,AMOXICILINA|NOVOCILIN|SINOT|VELAMOX BD,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada,amoxicilina trihidratada 875 mg comprimido,comprimido,comprimido,875 mg,oral,AMOXICILINA|NOVOCILIN,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada,amoxicilina trihidratada 875 mg comprimido revestido,comprimido revestido,comprimido,875 mg,oral,AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada,amoxicilina trihidratada 500 mg cápsula dura,cápsula dura,cápsula,500 mg,oral,AMOXICILINA|AMOXICILINA TRI-HIDRATADA|AMOXIL|FURP - AMOXICILINA|IQUEGO-AMOXICILINA|NOVOCILIN,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada,amoxicilina trihidratada 100 mg/ml pó para suspensão oral,pó para suspensão oral,pó,100 mg/ml,oral,AMOXIL,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada,amoxicilina trihidratada 50 mg/ml pó para suspensão oral,pó para suspensão oral,pó,50 mg/ml,oral,AMOXICILINA|AMOXIL|VELAMOX,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,amoxicilina trihidratada + clavulanato de potássio 500 + 125 mg comprimido revestido,comprimido revestido,comprimido,500 + 125 mg,oral,CLAVULIN,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,amoxicilina trihidratada + clavulanato de potássio 500 mg + 125 mg comprimido revestido,comprimido revestido,comprimido,500 mg + 125 mg,oral,AMOXICILINA + CLAVULANATO DE POTASSIO,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,amoxicilina trihidratada + clavulanato de potássio 500+125 mg comprimido revestido,comprimido revestido,comprimido,500+125 mg,oral,AMOXICILINA + CLAVULANATO DE POTÁSSIO,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,"amoxicilina trihidratada + clavulanato de potássio 500,0 + 125,0 mg comprimido revestido",comprimido revestido,comprimido,"500,0 + 125,0 mg",oral,AMOXICILINA + CLAVULANATO DE POTÁSSIO,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,amoxicilina trihidratada + clavulanato de potássio 875 mg + 125 mg comprimido revestido,comprimido revestido,comprimido,875 mg + 125 mg,oral,AMOXICILINA + CLAVULANATO DE POTÁSSIO|NOVAMOX,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,amoxicilina trihidratada + clavulanato de potássio 875+ 125 mg comprimido revestido,comprimido revestido,comprimido,875+ 125 mg,oral,CLAVULIN,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + clavulanato de potássio,"amoxicilina trihidratada + clavulanato de potássio 875,0 + 125,0 mg comprimido revestido",comprimido revestido,comprimido,"875,0 + 125,0 mg",oral,AMOXICILINA + CLAVULANATO DE POTÁSSIO,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + esomeprazol magnésico tri-hidratado + claritromicina,amoxicilina trihidratada + esomeprazol magnésico tri-hidratado + claritromicina 500 mg cápsula dura + 500 mg comprimido revestido + 20,cápsula dura + 500 mg comprimido revestido + 20,cápsula,500 mg,oral,ESOGASTRO IBP,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + lansoprazol + claritromicina,amoxicilina trihidratada + lansoprazol + claritromicina 30 mg cápsula de liberação retardada + 500 mg comprimido revestido +,cápsula de liberação retardada + 500 mg comprimido revestido +,cápsula,30 mg,oral,LANSOPRAZOL + CLARITROMICINA + AMOXICILINA,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + lansoprazol + levofloxacino hemi-hidratado,amoxicilina trihidratada + lansoprazol + levofloxacino hemi-hidratado 30 mg cápsula dura de liberação retardada + 500 mg comprimido revestido,cápsula dura de liberação retardada + 500 mg comprimido revestido,cápsula,30 mg,oral,PYLORIPAC RETRAT,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + omeprazol + claritromicina,amoxicilina trihidratada + omeprazol + claritromicina 20 mg cápsula dura de liberação retardada + 500 mg comprimido revestido,cápsula dura de liberação retardada + 500 mg comprimido revestido,cápsula,20 mg,oral,OMEPRAMIX,ANVISA/CMED 2026-06,2026-06
amoxicilina trihidratada + sulbactam pivoxila,amoxicilina trihidratada + sulbactam pivoxila 875 mg + 125 mg comprimido revestido,comprimido revestido,comprimido,875 mg + 125 mg,oral,TRIFAMOX,ANVISA/CMED 2026-06,2026-06
ampicilina,ampicilina 500 mg comprimido,comprimido,comprimido,500 mg,oral,AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina,ampicilina 500 mg cápsula dura,cápsula dura,cápsula,500 mg,oral,AMPICILAB|AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina,ampicilina 50 mg/ml pó para suspensão oral,pó para suspensão oral,pó,50 mg/ml,oral,AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina anidra,ampicilina anidra 500 mg cápsula dura,cápsula dura,cápsula,500 mg,oral,AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina anidra,ampicilina anidra 500 mg cápsula gelatinosa dura,cápsula gelatinosa dura,cápsula,500 mg,oral,AMPLACILINA,ANVISA/CMED 2026-06,2026-06
ampicilina sódica,ampicilina sódica 1 g pó para solução injetável,pó para solução injetável,pó,1 g,"intramuscular, intravenosa",AMPICILINA SÓDICA|AMPLATIL,ANVISA/CMED 2026-06,2026-06
ampicilina sódica,ampicilina sódica 100 mg/ml pó para solução injetável,pó para solução injetável,pó,100 mg/ml,parenteral,FURP-AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina sódica,ampicilina sódica 1000 mg pó para solução injetável,pó para solução injetável,pó,1000 mg,parenteral,CILINON,ANVISA/CMED 2026-06,2026-06
ampicilina sódica,ampicilina sódica 200 mg/ml pó para solução injetável,pó para solução injetável,pó,200 mg/ml,parenteral,FURP-AMPICILINA,ANVISA/CMED 2026-06,2026-06
ampicilina sódica,ampicilina sódica 500 mg pó para solução injetável,pó para solução injetável,pó,500 mg,"intramuscular, intravenosa",AMPICILINA SÓDICA|AMPLATIL|CILINON,ANVISA/CMED 2026-06,2026-06
anastrozol,anastrozol 1 mg comprimido revestido,comprimido revestido,comprimido,1 mg,oral,ANASTROLIBBS|ANASTROZOL|ANYA|ARAZABI|ARIMIDEX|AROTHAZY|CERMAZ|HANAZ,ANVISA/CMED 2026-06,2026-06
anastrozol,anastrozol 1 mg comprimido ver,comprimido ver,comprimido,1 mg,oral,ANASTROZOL,ANVISA/CMED 2026-06,2026-06
anatoxina tetânica + anatoxina diftérica,anatoxina tetânica + anatoxina diftérica suspensão injetável,suspensão injetável,suspensão,,intramuscular,VACINA ADSORVIDA DIFTERIA E TÉTANO ADULTO (DT)|VACINA ADSORVIDA DIFTERIA E TÉTANO INFANTIL (DT),ANVISA/CMED 2026-06,2026-06
anatoxina tetânica + anatoxina diftérica + antígeno pertussis,anatoxina tetânica + anatoxina diftérica + antígeno pertussis suspensão injetável,suspensão injetável,suspensão,,intramuscular,"VACINA ADSORVIDA DIFTERIA, TÉTANO E PERTUSSIS",ANVISA/CMED 2026-06,2026-06
anfotericina b,anfotericina b 50 mg pó liofilizado para solução inf,pó liofilizado para solução inf,pó,50 mg,intravenosa,AMBISOME,ANVISA/CMED 2026-06,2026-06
anfotericina b,anfotericina b 50 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,50 mg,parenteral,ANFORICIN B,ANVISA/CMED 2026-06,2026-06
anfotericina b,anfotericina b 5 mg/ml suspensão injetável,suspensão injetável,suspensão,5 mg/ml,intravenosa,ABELCET,ANVISA/CMED 2026-06,2026-06
anidulafungina,anidulafungina 100 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,100 mg,intravenosa,ANIDULAFUNGINA|ECALTA,ANVISA/CMED 2026-06,2026-06
anifrolumabe,anifrolumabe 150 mg/ml solução para diluição para infusão,solução para diluição para infusão,solução,150 mg/ml,intravenosa,SAPHNELO,ANVISA/CMED 2026-06,2026-06
antimoniato de meglumina,antimoniato de meglumina 300 mg/ml solução injetável,solução injetável,solução,300 mg/ml,parenteral,GLUCANTIME,ANVISA/CMED 2026-06,2026-06
antígeno de superfície da hepatite b,antígeno de superfície da hepatite b 10 mcg suspensão injetável,suspensão injetável,suspensão,10 mcg,parenteral,ENGERIX B,ANVISA/CMED 2026-06,2026-06
antígeno de superfície da hepatite b,antígeno de superfície da hepatite b 20 mcg/ml suspensão injetável,suspensão injetável,suspensão,20 mcg/ml,intramuscular,VACINA ADSORVIDA HEPATITE B (RECOMBINANTE),ANVISA/CMED 2026-06,2026-06
apalutamida,apalutamida 60 mg comprimido revestido,comprimido revestido,comprimido,60 mg,oral,ERLEADA,ANVISA/CMED 2026-06,2026-06
apixabana,"apixabana 2,5 mg comprimido revestido",comprimido revestido,comprimido,"2,5 mg",oral,APICS|APIXABANA|APIXORD|ATIVOR|BANXA|EKNUS|ELIQUIS|EMBO,ANVISA/CMED 2026-06,2026-06
apixabana,apixabana 5 mg comprimido revestido,comprimido revestido,comprimido,5 mg,oral,APIXABANA|EMBO|HALLIS|HARTERYA|IXOBAM|PICBAM|XAKILIS,ANVISA/CMED 2026-06,2026-06
apixabana,"apixabana 5,0 mg comprimido revestido",comprimido revestido,comprimido,"5,0 mg",oral,APICS|APIXABANA|APIXORD|ATIVOR|BANXA|EKNUS|ELIQUIS|IXABI,ANVISA/CMED 2026-06,2026-06
apixabana,"apixabana 2,5 mg comprimido rv",comprimido rv,comprimido,"2,5 mg",oral,PICBAM,ANVISA/CMED 2026-06,2026-06
aprotinina + trombina + fibrinogênio,aprotinina + trombina + fibrinogênio kit 2 fa vd inc pó liofilizado + 2,pó liofilizado + 2,pó,kit 2 fa vd inc,,TISSEEL,ANVISA/CMED 2026-06,2026-06
aprotinina + trombina + fibrinogênio,aprotinina + trombina + fibrinogênio solução tópica,solução tópica,solução,,tópica,ARTISS|TISSEEL,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 10 mg comprimido,comprimido,comprimido,10 mg,oral,AIPRI|AQUARELA|ARIPIPRAZOL|ARISTAB|ARPEJO|BIQUIZ|HARIP|HEDD,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 15 mg comprimido,comprimido,comprimido,15 mg,oral,AIPRI|AQUARELA|ARIPIPRAZOL|ARISTAB|ARPEJO|BIQUIZ|HARIP|KAVIUM,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 20 mg comprimido,comprimido,comprimido,20 mg,oral,AQUARELA|ARIPIPRAZOL|ARISTAB|ARPEJO|HARIP|TOARIP,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 30 mg comprimido,comprimido,comprimido,30 mg,oral,AQUARELA|ARIPIPRAZOL|ARISTAB|ARPEJO|TOARIP,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 10 mg comprimido orodispersível,comprimido orodispersível,comprimido,10 mg,oral,ARISTAB ODT|HARIP ODT|KAVIUM ODT,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 15 mg comprimido orodispersível,comprimido orodispersível,comprimido,15 mg,oral,ARISTAB ODT|HARIP ODT|KAVIUM ODT,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 20 mg comprimido orodispersível,comprimido orodispersível,comprimido,20 mg,oral,ARISTAB ODT|HARIP ODT|KAVIUM ODT,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 30 mg comprimido orodispersível,comprimido orodispersível,comprimido,30 mg,oral,ARISTAB ODT|HARIP ODT|KAVIUM ODT,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 20 mg/ml suspensão got oral,suspensão got oral,suspensão,20 mg/ml,oral,ARPEJO|ARPIO,ANVISA/CMED 2026-06,2026-06
aripiprazol,aripiprazol 1 mg/ml suspensão oral,suspensão oral,suspensão,1 mg/ml,oral,AQUARELA|ARISTAB|OPTARY,ANVISA/CMED 2026-06,2026-06
armodafinila,armodafinila 150 mg comprimido,comprimido,comprimido,150 mg,oral,NUVIGIL,ANVISA/CMED 2026-06,2026-06
armodafinila,armodafinila 250 mg comprimido,comprimido,comprimido,250 mg,oral,NUVIGIL,ANVISA/CMED 2026-06,2026-06
ascorbato de sódio + citrato de zinco tri-hidratado + colecalciferol,ascorbato de sódio + citrato de zinco tri-hidratado + colecalciferol 1000 mg + 455 ui + 10 mg comprimido revestido,comprimido revestido,comprimido,1000 mg + 455 ui + 10 mg,oral,REDOXON TRIPLA AÇÃO CR,ANVISA/CMED 2026-06,2026-06
asparaginase,asparaginase 10.000 u pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,10.000 u,intravenosa,SPECTRILA,ANVISA/CMED 2026-06,2026-06
aspartato de arginina,aspartato de arginina 1500 mg comprimido efervescente,comprimido efervescente,comprimido,1500 mg,oral,TARGIFOR,ANVISA/CMED 2026-06,2026-06
aspartato de arginina,aspartato de arginina 250 mg comprimido revestido,comprimido revestido,comprimido,250 mg,oral,REFORGAN,ANVISA/CMED 2026-06,2026-06
aspartato de arginina + ácido ascórbico,aspartato de arginina + ácido ascórbico 1 g + 1 g comprimido efervescente,comprimido efervescente,comprimido,1 g + 1 g,oral,ASPARGIL C|TARGIFOR C,ANVISA/CMED 2026-06,2026-06
aspartato de arginina + ácido ascórbico,aspartato de arginina + ácido ascórbico 500 mg + 500 mg comprimido revestido,comprimido revestido,comprimido,500 mg + 500 mg,oral,TARGIFOR C,ANVISA/CMED 2026-06,2026-06
aspartato de l-arginina,aspartato de l-arginina 250 mg comprimido revestido,comprimido revestido,comprimido,250 mg,oral,REFORGAN,ANVISA/CMED 2026-06,2026-06
aspartato de magnésio + cloridrato de tiamina + aspartato de potássio + acetato de tocoferol + riboflavina + cloridrato de piridoxina,aspartato de magnésio + cloridrato de tiamina + aspartato de potássio + acetato de tocoferol + riboflavina + cloridrato de piridoxina drágea,drágea,drágea,,oral,CAZIGERAN,ANVISA/CMED 2026-06,2026-06
aspartato de ornitina,"aspartato de ornitina 0,6 g/g granulado para solução",granulado para solução,granulado,"0,6 g/g",oral,HEPA-MERZ,ANVISA/CMED 2026-06,2026-06
aspartato de ornitina,"aspartato de ornitina 0,5 g/ml solução injetável",solução injetável,solução,"0,5 g/ml",parenteral,HEPA-MERZ,ANVISA/CMED 2026-06,2026-06
atalureno,atalureno 1000 mg granulado para suspensão oral,granulado para suspensão oral,granulado,1000 mg,oral,TRANSLARNA,ANVISA/CMED 2026-06,2026-06
atalureno,atalureno 125 mg granulado para suspensão oral,granulado para suspensão oral,granulado,125 mg,oral,TRANSLARNA,ANVISA/CMED 2026-06,2026-06
atalureno,atalureno 250 mg granulado para suspensão oral,granulado para suspensão oral,granulado,250 mg,oral,TRANSLARNA,ANVISA/CMED 2026-06,2026-06
atenolol,atenolol 100 mg comprimido,comprimido,comprimido,100 mg,oral,ABLOK|ATENOLAB|ATENOLOL|TENOLON,ANVISA/CMED 2026-06,2026-06
atenolol,atenolol 25 mg comprimido,comprimido,comprimido,25 mg,oral,ABLOK|ANGIPRESS|ATENOLAB|ATENOLOL|TELOL,ANVISA/CMED 2026-06,2026-06
atenolol,atenolol 50 mg comprimido,comprimido,comprimido,50 mg,oral,ABLOK|ANGIPRESS|ATENOLAB|ATENOLOL|ATENOPRESS|TELOL,ANVISA/CMED 2026-06,2026-06
atenolol,atenolol 25 mg comprimido revestido,comprimido revestido,comprimido,25 mg,oral,ATENOLOL,ANVISA/CMED 2026-06,2026-06
atenolol,atenolol 50 mg comprimido revestido,comprimido revestido,comprimido,50 mg,oral,ATENOLOL,ANVISA/CMED 2026-06,2026-06
atenolol + besilato de anlodipino,atenolol + besilato de anlodipino 5 mg + 25 mg cápsula dura,cápsula dura,cápsula,5 mg + 25 mg,oral,BETALOR,ANVISA/CMED 2026-06,2026-06
atenolol + besilato de anlodipino,atenolol + besilato de anlodipino 5 mg + 50 mg cápsula dura,cápsula dura,cápsula,5 mg + 50 mg,oral,BETALOR,ANVISA/CMED 2026-06,2026-06
atenolol + besilato de anlodipino,"atenolol + besilato de anlodipino 5,0 + 25,0 mg cápsula dura",cápsula dura,cápsula,"5,0 + 25,0 mg",oral,BESILATO DE ANLODIPINO+ATENOLOL,ANVISA/CMED 2026-06,2026-06
atenolol + besilato de anlodipino,"atenolol + besilato de anlodipino 5,0 + 50,0 mg cápsula dura",cápsula dura,cápsula,"5,0 + 50,0 mg",oral,BESILATO DE ANLODIPINO+ATENOLOL,ANVISA/CMED 2026-06,2026-06
atenolol + besilato de anlodipino,"atenolol + besilato de anlodipino 5,0+ 50,0 mg cápsula dura",cápsula dura,cápsula,"5,0+ 50,0 mg",oral,BESILATO DE ANLODIPINO+ATENOLOL,ANVISA/CMED 2026-06,2026-06
atenolol + clortalidona,atenolol + clortalidona 100 mg + 25 mg comprimido,comprimido,comprimido,100 mg + 25 mg,oral,ABLOK PLUS|ANGIPRESS CD|ATELIDONA|ATENOLOL + CLORTALIDONA|REVERT,ANVISA/CMED 2026-06,2026-06
atenolol + clortalidona,"atenolol + clortalidona 100,0 + 25,0 mg comprimido",comprimido,comprimido,"100,0 + 25,0 mg",oral,ATENOCLOR|ATENOLOL + CLORTALIDONA,ANVISA/CMED 2026-06,2026-06
atenolol + clortalidona,"atenolol + clortalidona 25 mg + 12,5 mg comprimido",comprimido,comprimido,"25 mg + 12,5 mg",oral,ABLOK PLUS|ANGIPRESS CD,ANVISA/CMED 2026-06,2026-06
atenolol + clortalidona,"atenolol + clortalidona 50 mg + 12,5 mg comprimido",comprimido,comprimido,"50 mg + 12,5 mg",oral,ABLOK PLUS|ANGIPRESS CD|ATELIDONA|ATENOLOL + CLORTALIDONA|DIUBLOK|REVERT,ANVISA/CMED 2026-06,2026-06
atenolol + clortalidona,"atenolol + clortalidona 50,0 + 12,5 mg comprimido",comprimido,comprimido,"50,0 + 12,5 mg",oral,ATENOCLOR|ATENOLOL + CLORTALIDONA,ANVISA/CMED 2026-06,2026-06
atezolizumabe,atezolizumabe 1875 mg solução injetável,solução injetável,solução,1875 mg,subcutânea,TECENTRIQ,ANVISA/CMED 2026-06,2026-06
atezolizumabe,atezolizumabe 1200 mg solução para diluição para infusão,solução para diluição para infusão,solução,1200 mg,intravenosa,TECENTRIQ,ANVISA/CMED 2026-06,2026-06
atezolizumabe,atezolizumabe 840 mg solução para diluição para infusão,solução para diluição para infusão,solução,840 mg,intravenosa,TECENTRIQ,ANVISA/CMED 2026-06,2026-06
atorvastatina cálcica,atorvastatina cálcica 10 mg comprimido revestido,comprimido revestido,comprimido,10 mg,oral,ATEROMA|ATORLESS|ATORVASTATINA CALCICA|ATORVASTATINA CÁLCICA|CITALOR|LIPISTAT|LIPITOR|TORVILIP,ANVISA/CMED 2026-06,2026-06
atorvastatina cálcica,atorvastatina cálcica 20 mg comprimido revestido,comprimido revestido,comprimido,20 mg,oral,ATEROMA|ATORLESS|ATORVASTATINA CALCICA|ATORVASTATINA CÁLCICA|CITALOR|LIPISTAT|LIPITOR|TORVILIP,ANVISA/CMED 2026-06,2026-06
atorvastatina cálcica,atorvastatina cálcica 40 mg comprimido revestido,comprimido revestido,comprimido,40 mg,oral,ATEROMA|ATORLESS|ATORVASTATINA CALCICA|ATORVASTATINA CÁLCICA|CITALOR|LIPISTAT|LIPITOR|TORVILIP,ANVISA/CMED 2026-06,2026-06
atorvastatina cálcica,atorvastatina cálcica 80 mg comprimido revestido,comprimido revestido,comprimido,80 mg,oral,ATORLESS|ATORVASTATINA CÁLCICA|CITALOR|LIPITOR,ANVISA/CMED 2026-06,2026-06
atropa belladonna,"atropa belladonna 0,2 ml/ml elixir",elixir,elixir,"0,2 ml/ml",oral,COLEGÓRICO|ELIXIR CÓLICO,ANVISA/CMED 2026-06,2026-06
avacopana,avacopana 10 mg cápsula dura,cápsula dura,cápsula,10 mg,oral,TAVNEOS,ANVISA/CMED 2026-06,2026-06
avelumabe,avelumabe 20 mg/ml solução para diluição inf,solução para diluição inf,solução,20 mg/ml,intravenosa,BAVENCIO,ANVISA/CMED 2026-06,2026-06
axetil cefuroxima,axetil cefuroxima 250 mg comprimido revestido,comprimido revestido,comprimido,250 mg,oral,ZINNAT,ANVISA/CMED 2026-06,2026-06
axetil cefuroxima,axetil cefuroxima 500 mg comprimido revestido,comprimido revestido,comprimido,500 mg,oral,ZINNAT,ANVISA/CMED 2026-06,2026-06
axetil cefuroxima,axetil cefuroxima 250 mg pó para suspensão oral,pó para suspensão oral,pó,250 mg,oral,ZINNAT,ANVISA/CMED 2026-06,2026-06
axetil cefuroxima,axetil cefuroxima 50 mg/ml pó para suspensão oral,pó para suspensão oral,pó,50 mg/ml,oral,ZINNAT,ANVISA/CMED 2026-06,2026-06
axetilcefuroxima,axetilcefuroxima 500 mg comprimido,comprimido,comprimido,500 mg,oral,AURA|AXETILCEFUROXIMA,ANVISA/CMED 2026-06,2026-06
axetilcefuroxima,axetilcefuroxima 250 mg comprimido revestido,comprimido revestido,comprimido,250 mg,oral,AXETILCEFUROXIMA|MEFEX,ANVISA/CMED 2026-06,2026-06
axetilcefuroxima,axetilcefuroxima 500 mg comprimido revestido,comprimido revestido,comprimido,500 mg,oral,AXETILCEFUROXIMA|MEFEX|TOTACEF,ANVISA/CMED 2026-06,2026-06
