pcdt,condicao,cid,principio_ativo,posologia_bruta,linha,citacao,status_curadoria
PCDT da Asma,Asma,J45,Beclometasona e budesonida,"doses diárias tot ais sugeridas para corticoides inalatórios, dividida em doses baixa, média e alta, estão discriminadas no Quadro 103. Quadro 10. Doses baixas, médias e altas de corticoides inalatórios, para uso diário, isoladamente ou com beta2-agonista de longa duração (LABA) Corticoide Dose baixa a mcg/dia Dose média mcg/dia Dose alta b mcg/dia ≥ 12 anos Dipropionato de beclometasona (pMDI, partícula padrão, HFA) 200-500 > 500-1.000 > 1.000 Dipropionato de beclometasona (DPI ou pMDI, partícula extrafinac, HFA) 100-200 > 200-400 > 400 Budesonida (DPI ou pMDI, partícula padrão, HFA) 200-400 > 400-800 > 800 Crianças 6 a 11 anos Dipropionato de beclometasona (pMDI, partícula padrão, HFA) 100-200 > 200-400 > 400 Dipropionato de beclometasona (pMDI, partícula extrafinac, HFA) 50-100 > 100-200 > 200 Budesonida (DPI ou pMDI, partícula padrão, HFA) 100-200 > 200-400 > 400 Nota: a. Dose padrão para iniciar e manter o tratamento da maioria dos pacientes ; b. Aumentam a frequência e intensidade dos efeitos colaterais sistêmicos; c. Apresentação ainda não disponível no Brasil; pMDI: dispositivos de dose medida pressurizada; DPI: Dispositivo de pó inalatório. HFA: hidrofluoralcano. Fonte: adaptado da GINA (2025)3",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Prednisona e prednisolona,"para adolescentes e adultos, a do se recomendada de prednisolona (ou equivalente de prednisona) é de 40 a 50 mg/dia por 5 a 7 dias para exacerbações graves. O uso adicional de corticoides orais em baixa dose (até 7,5 mg/dia de prednisona ou equivalente) pode ser considerado como último recurso no manejo da asma grave em adultos. Para crianças de 6 a 11 anos , preconiza-se 1 a 2 mg/ kg/dia de prednisolona , com máximo de 40 mg/dia , por 3 a 5 dias. A GINA recomenda administração em dose única diária , para adultos . A administração matinal é geral mente preferida para minimizar eventos adversos sobre o eixo hipotálamo-hipófise-adrenal. Não é necessário desmame de corticoide oral se o uso for por menos de 2 semanas3.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Formoterol + budesonida,"para adultos e adolescentes, recomenda-se geralmente a formulação de 200/6 mcg por dose medida (equivalente a 160/4,5 mcg de dose administrada), disponível em pó inalável. Em crianças de 6 a 11 anos, utiliza -se preferencialmente a apresentação de 100/6 mcg por dose medida (80/4,5 mcg de dose administrada), em di spositivo de pó inalável. Para o uso sob demanda, os pacientes devem inalar 1 a 2 doses ao surgimento dos sintomas, ou antes da prática de exercícios ou exposição a alérgenos, conforme a apresentação prescrita e orientação médica. Diferentemente do SABA, n ão é 39 necessário aguardar um intervalo mínimo entre as doses de alívio. No entanto, deve -se respeitar o limite máximo diário de formoterol, considerando tanto as doses de manutenção quanto as de alívio . O Quadro 11 apresenta a dose e frequência de formoterol + budesonida para estratégia AIR e MART em adolescentes ≥ 12 anos e adultos, no regime de tratamento preferencial. Quadro 11. Dose e frequência de formoterol + budesonida para estratégia AIR e MART em adolescentes ≥ 12 anos e adultos no regime preferencial. Medicamento Dose e frequência para tera pia AIR * e MART** Número máximo de inalações ao dia Fumarato de formoterol + budesonida - 6/200 mcg por inalação - Cápsula ou pó inalante Etapa 1*: 01 inalação sob demanda; Etapa 2*: 01 inalação sob demanda; Etapa 3 **: 01 inalação, uma ou duas vezes ao dia (diárias) + 01 inalação sob demanda; Etapa 4 **: 02 inalações, duas vezes ao dia (diárias) + 01 inalação sob demanda; Etapa 5 **: 02 inalações, duas vezes ao dia (diárias) + 01 inalação sob demanda. 12 inalações (totalizando 72 mcg de formoterol) AIR – terapia de alívio com ação antinflamatória; MART – terapia de alívio e manutenção. Fonte: Adaptado de GINA (2025) 3.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Salbutamol ou fenoterol,"em casos de exacerbações leves a moderadas, o salbutamol pode ser administrado na dose de 4 a 10 jatos (100 mcg cada) a cada 20 minutos durante a primeira hora. Após esse período inicial, a frequência pode ser ajustada conforme a resposta clínica, variando entre 4 a 10 jatos a cada 3 a 4 horas ou 6 a 10 jatos a cada 1 a 2 horas. A vi a preferencial de administração é pMDI com espaçador. O uso excessivo de SABA para alívio diário de sintomas, fora do contexto de tratamento de exacerbações graves, está associado a maior risco de exacerbações e até de morte relacionada à asma 3.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Mepolizumabe,"em adultos e adolescentes a partir de 12 anos, a dose preconizada é de 100 mg administradas por via subcutânea, a cada 4 semanas. Para crianças de 6 a 11 anos, 40 mg, a cada 4 semanas. A segurança e a eficácia do mepolizumabe não foram estabelecidas em crianças com idade inferior a 6 anos23.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Omalizumabe,"dose e frequência são determinadas pelo nível sérico basal de IgE (UI/mL), medido antes do início do tratamento, e pelo peso corpóreo (kg). Com base nessas medidas, 75 a 600 mg (1 a 4 injeções) devem ser necessários em cada administração. Omalizumabe deve ser administrado com suporte para o tratamento de reações anafiláticas imediatas. As 3 primeiras doses devem ser administradas por um profissional de saúde ou sob supervisão dele. Após isso, pode haver orientação médica para autoadministração. Pacientes cujo nível basal de IgE ou peso corpóreo em kg estiverem fora dos limites da tabela de dose não devem receber o medicamento 25. Os Quadros 12 e 13 apresentam, respectivamente, as doses de omalizumabe administradas a cada quatro e a cada duas semanas. Considerando-se a existência de duas apresentações do medicamento, deve- se atentar quanto ao volume adequado a ser administrado para atingir a dose necessária. Quadro 12. Doses de omalizumabe (mg por dose) via subcutânea, a cada 4 semanas Nível de IgE basal (UI/mL) Peso (kg) ≥20 - 25 >25- 30 >30- 40 >40- 50 >50- 60 >60- 70 >70- 80 >80- 90 >90-125 >125- 150 ≥ 30-100 75 75 75 150 150 150 150 150 300 300 > 100-200 150 150 150 300 300 300 300 300 450 600 40 > 200-300 150 150 225 300 300 450 450 450 600 > 300-400 225 225 300 450 450 450 600 600 > 400-500 225 300 450 450 600 600 > 500-600 300 300 450 600 600 Administração a cada 2 semanas (ver a Quadro 11) > 600-700 300 450 600 Fonte: Bula do medicamento25. Quadro 13. Doses de omalizumabe (mg por dose) via subcutânea, a cada 2 semanas Nível de IgE basal (UI/mL) Peso (kg) ≥20 - 25 >25– 30 >30– 40 >40– 50 >50– 60 >60– 70 >70– 80 >80– 90 >90 – 125 >125 - 150 ≥ 30-100 > 100-200 > 200-300 Administração a cada 4 semanas (ver Quadro 10) 375 > 300-400 450 525 > 400-500 375 375 525 600 > 500-600 375 450 450 600 > 600-700 225 375 450 450 525 > 700-800 225 225 300 375 450 450 525 600 > 800-900 225 225 300 375 450 525 600 > 900-1.000 225 300 375 450 525 600 > 1.000-1.100 225 300 375 450 600 Não administrar > 1.100-1.200 300 300 450 525 600 > 1.200-1.300 300 375 450 525 > 1.300-1.500 300 375 525 600 Fonte: Bula do medicamento25.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Benralizumabe,"30 mg por injeção subcutânea a cada 4 semanas nas três primeiras doses e, a partir de então, a cada 8 semanas. Nenhum ajuste de dose é necessário para pacientes idosos, com disfunção renal ou hepática 24.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
PCDT da Asma,Asma,J45,Dupilumabe,"em pacientes adultos e adolescentes (≥12 anos) com asma grave e que estão fazendo uso de corticoides oral é recomendada uma dose inicial de 600 mg (duas injeções de 300 mg), seguida de uma dose de 300 mg administrada a cada duas semanas sob a forma de injeção subcutânea. Para todos os outros pacientes, é recomendada uma dose inicial de 400 mg (duas injeções de 200 mg), seguida de uma dose de 200 mg administrada a cada duas semanas sob a forma de injeção subcutânea. Para uso em crianças (6 a 11 anos) de 15 até < 30 kg, 300 mg, a cada 4 semanas ; ≥ 30 kg, 200 mg, a cada 2 semanas 26. Para 41 pacientes entre 6 e 11 anos com asma e dermatite atópica grave, recomenda-se seguir as orientações de tratamento do dupilumabe conforme o Protocolo Clínico e Diretrizes Terapêuticas de Dermatite Atópica26. Pacientes em uso de terapia imunobiológica, que utilizam concomitantemente corticoide oral, podem ter a dose de ste reduzida, desde que haja evidência de melhora clínica. No entanto, essa redução deve ser feita de forma gradual e sempre sob supervisão médica. Nunca se deve interromper o uso de corticoide oral de maneira abrupta23–26.",,"PORTARIA CONJUNTA SAES/SCTIE Nº 43, DE 24 DE MARÇO DE 2026, §7.4.1 Esquemas de administração, p. 38-41",rascunho
