pcdt,condicao,cid,principio_ativo,posologia_bruta,linha,citacao,status_curadoria
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,metformina,500 mg ou 850 mg 2550 mg 2 a 3 vezes Sulfonilureias,se diária habitual Dose diária máxima Frequência diária Biguanidas Cloridrato de,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,glibenclamida,5 mg 20 mg 1 a 2 vezes,500 mg ou 850 mg 2550 mg 2 a 3 vezes Sulfonilureias,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,gliclazida,30 mg ou 60 mg 120 mg 1 vez iSGLT2,5 mg 20 mg 1 a 2 vezes,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,dapagliflozina,10 mg 10 mg 1 vez,30 mg ou 60 mg 120 mg 1 vez iSGLT2,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,insulina NPH,"Dose inicial 0,1-0,2 U/kg/diaa,b Em pessoas com obesidade e resistência à insulina importantes 0,5- 0,75 U/Kg/dia. 0,5 U/kg/dia. Em pessoas com obesidade e resistência à insulina importantes 0,75 U/kg/dia 1 a 2 vezesc",10 mg 10 mg 1 vez,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,insulina regular,Dose inicial de 3 U a 4 U e titular de acordo com a glicemia pós- prandiald > 50% da DTDI Antes das refeições principais,"as com obesidade e resistência à insulina importantes 0,75 U/kg/dia 1 a 2 vezesc","PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,Insulina análoga de ação rápida,Dose inicial de 3 U a 4 U e titular de acordo com a glicemia pós- prandiald > 50% da DTDI Antes das refeições principais,cordo com a glicemia pós- prandiald > 50% da DTDI Antes das refeições principais,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
PCDT Diabete Melito Tipo 2,Diabete melito tipo 2,E11,Insulina análoga de ação prolongada,"Dose inicial 0,1 U- 0,2 U/kg/diaa,b. Em pessoas com obesidade e resistência à insulina importantes 0,5- 0,75 U/kg/dia. 0,5 U/kg. Em pessoas com obesidade e resistência à insulina importantes 0,75 U/kg/dia 1 vez LegendaDTDI – dose total diária de insulina. Notas: a. ajustando em 2 U a cada 3 dias até atingir a meta estabelecida para glicemia em jejum; b. 0,3 a 0,5U/kg dose de manutenção; c. ajuste a cada 3 dias até atingir o objetivo; d. dose deverá ser titulada até atingir glicemia pré-prandial entre 90 mg/dL e 180 mg/dL, com aumento de 1 U, duas vezes por semana. Fonte: Elaboração própria. 8.9.",cordo com a glicemia pós- prandiald > 50% da DTDI Antes das refeições principais,"PORTARIA SCTIE/MS Nº 13, DE 21 DE FEVEREIRO DE 2026, Quadro 15, p. 39 + Quadro 18, p. 47 (elenco confirmado)",rascunho
